,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
187,Feature,199901NI00144,"5:45pm, 8th March 1999",slight,Cyclist,1,2,51.52682,-0.10851,"[-0.108499, 51.526803]"
188,Feature,199901NI00146,"6:25pm, 9th March 1999",serious,Cyclist,1,2,51.533165,-0.106084,"[-0.106078, 51.533148]"
189,Feature,199901NI00159,"9:50am, 12th March 1999",serious,Cyclist,1,2,51.522491,-0.102202,"[-0.102225, 51.522494]"
190,Feature,199901NI00161,"9:36am, 17th March 1999",slight,Cyclist,1,2,51.526873,-0.111823,"[-0.111839, 51.526865]"
191,Feature,199901NI00197,"5:40am, 8th April 1999",slight,Cyclist,1,2,51.522489,-0.102058,"[-0.10207, 51.522494]"
192,Feature,199901NI00204,"8:45am, 14th April 1999",slight,Cyclist,1,2,51.52691,-0.108506,"[-0.108501, 51.526893]"
193,Feature,199901NI00205,"10:15am, 14th April 1999",slight,Cyclist,1,2,51.524873,-0.099364,"[-0.099358, 51.524875]"
194,Feature,199901NI00210,"4:00pm, 21st April 1999",slight,Cyclist,1,2,51.533251,-0.111415,"[-0.111439, 51.533268]"
195,Feature,199901NI00236,"12:20pm, 29th April 1999",slight,Cyclist,1,2,51.526817,-0.108366,"[-0.108389, 51.52679]"
196,Feature,199901NI00243,"12:30pm, 30th April 1999",slight,Cyclist,1,1,51.526817,-0.108366,"[-0.108378, 51.526823]"
197,Feature,199901NI00245,"10:00am, 14th May 1999",serious,Cyclist,1,2,51.533963,-0.10533,"[-0.105314, 51.533966]"
198,Feature,199901NI00260,"9:34am, 6th May 1999",slight,Cyclist,1,2,51.523768,-0.103302,"[-0.103301, 51.523751]"
199,Feature,199901NI00279,"11:30pm, 18th May 1999",slight,Cyclist,1,2,51.529739,-0.105505,"[-0.105515, 51.529738]"
